library_engagement,attendance,lms_activity,assessment_activity,grades
0.950198959333,0.961542651412,0.950278099547,0.97169111919,0.959150923491
0.945952660803,0.961463601375,0.935124584207,0.972122546834,0.959030836409
0.944852676462,0.95838617604,0.933527772632,0.975123208513,0.95694841337
0.944382954469,0.956862604727,0.938383735793,0.973271324143,0.953100061869
0.944842608449,0.955315242569,0.928987766624,0.978124375813,0.949582949515
0.944043101733,0.947487542601,0.926246308575,0.979499444617,0.954845535343
0.942570600399,0.944670526263,0.931175397345,0.975710283889,0.950009625883
0.948851023512,0.942184114374,0.93225217751,0.973712244384,0.946998276161
0.949657482463,0.941516028042,0.940956185532,0.969235662288,0.946958917548
0.948418447439,0.940320715256,0.928972210548,0.967984975166,0.94292749771
0.94638707515,0.941278054452,0.917027545072,0.961118146869,0.946241841069
0.94601704423,0.940270507408,0.902767527642,0.962102570577,0.942688725308
0.942405466626,0.939988519099,0.911163884315,0.959910388882,0.943959120761
0.946091878351,0.940301279008,0.933550859977,0.956660762269,0.946270207966
0.952108153636,0.94248909277,0.927004449009,0.959106718989,0.946556064755
0.989831417377,1.00094485831,0.992661795915,1.01269916546,0.998651857934
0.986004502393,1.00111895725,0.989944766104,1.01329032674,0.998625700877
